Transaction Date,Transaction Cleared Date,Transaction Type,Transaction Description,Transaction Amount
28/03/2025,31/03/2025,Contactless purchase,BOOTS 2265,-28.15
28/03/2025,31/03/2025,Contactless purchase,Aelia,-19.99
26/03/2025,27/03/2025,Contactless purchase,HOLLAND AND BARRETT,-41
26/03/2025,27/03/2025,Chip and PIN purchase,SPORTSDIRECT.COM,-162.97
26/03/2025,27/03/2025,Contactless purchase,WAITROSE 768,-56.3
26/03/2025,27/03/2025,Contactless purchase,BOOTS 1132,-36.45
26/03/2025,27/03/2025,Contactless purchase,MUJI OXFORD STREET,-38.25
25/03/2025,25/03/2025,Not Available,AMZNMktplace*RW3JA49R4,-143.83
24/03/2025,25/03/2025,Online/phone/mail order purchase,WWW.JOHNLEWIS.COM,-192.99
24/03/2025,25/03/2025,Online/phone/mail order purchase,CURRYS ONLINE,-299.95
22/03/2025,24/03/2025,Online/phone/mail order purchase,SPORTSDIRECT.COM,-318.96
